City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dongsheng,39.8161,109.9776,17.31,31,0,4.67,CN,1686254690
1,damavand,35.7178,52.065,13.66,70,100,4.08,IR,1686254690
2,sao filipe,14.8961,-24.4956,24.7,82,8,2.53,CV,1686254690
3,chapleau,47.8405,-83.4034,19.05,45,100,3.6,CA,1686254690
4,lebu,-37.6167,-73.65,13.48,94,100,5.93,CL,1686254690
5,provideniya,64.3833,-173.3,8.66,65,100,1.67,RU,1686254690
6,mataura,-46.1927,168.8643,-0.52,97,42,1.03,NZ,1686254691
7,puerto ayora,-0.7393,-90.3518,29.98,82,68,3.58,EC,1686254691
8,saint anthony,45.0205,-93.218,27.79,30,0,5.66,US,1686254671
9,fereydun kenar,36.6864,52.5225,21.3,77,100,3.88,IR,1686254691
10,hermanus,-34.4187,19.2345,15.45,90,93,5.7,ZA,1686254691
11,tabuk,17.4189,121.4443,23.79,91,32,0.58,PH,1686254691
12,chechat,24.7667,75.8833,34.67,30,59,3.2,IN,1686254691
13,le port,-20.9373,55.2919,22.98,93,18,1.54,RE,1686254691
14,alofi,-19.0595,-169.9187,23.94,94,100,1.03,NU,1686254492
15,port alfred,-33.5906,26.891,17.42,53,2,4.16,ZA,1686254691
16,baykit,61.67,96.37,16.43,93,17,0.75,RU,1686254691
17,hithadhoo,-0.6,73.0833,28.32,70,49,0.54,MV,1686254691
18,port hardy,50.6996,-127.4199,14.1,77,40,1.54,CA,1686254576
19,upernavik,72.7868,-56.1549,-1.7,68,28,1.59,GL,1686254691
20,ushuaia,-54.8,-68.3,2.79,75,0,0.51,AR,1686254490
21,jackson,42.4165,-122.8345,27.25,48,0,1.79,US,1686254267
22,suksun,57.1431,57.3949,6.26,95,7,2.69,RU,1686254691
23,avarua,-21.2078,-159.775,25.03,73,20,5.66,CK,1686254692
24,pisco,-13.7,-76.2167,22.03,73,100,3.6,PE,1686254677
25,punta arenas,-53.15,-70.9167,2.06,80,20,2.57,CL,1686254692
26,hilo,19.7297,-155.09,25.9,74,100,3.58,US,1686254692
27,castro,-24.7911,-50.0119,17.61,61,3,1.32,BR,1686254692
28,astana,51.1801,71.446,18.97,72,40,4.0,KZ,1686254465
29,bluff,-46.6,168.3333,4.12,90,21,2.63,NZ,1686254478
30,kapaa,22.0752,-159.319,27.99,76,40,3.6,US,1686254604
31,souillac,-20.5167,57.5167,23.21,83,40,3.09,MU,1686254471
32,kysyl-syr,63.8986,122.7617,10.38,60,5,0.37,RU,1686254692
33,rikitea,-23.1203,-134.9692,22.47,56,100,5.1,PF,1686254692
34,raymondville,26.4815,-97.7831,35.05,40,0,1.04,US,1686254692
35,ous,60.9058,61.5186,6.47,59,88,2.77,RU,1686254692
36,cabo san lucas,22.8909,-109.9124,30.9,51,0,2.57,MX,1686254693
37,manaure,11.7751,-72.4445,34.02,52,14,5.5,CO,1686254693
38,weihai,37.5017,122.1136,18.19,45,3,3.06,CN,1686254693
39,caravelas,-17.7125,-39.2481,23.09,73,2,2.97,BR,1686254570
40,vanimo,-2.6741,141.3028,25.03,89,98,1.48,PG,1686254693
41,alyangula,-13.8483,136.4192,23.01,83,70,4.53,AU,1686254693
42,jamestown,42.097,-79.2353,16.68,56,100,4.12,US,1686254588
43,tiksi,71.6872,128.8694,8.76,78,36,3.98,RU,1686254693
44,coihaique,-45.5752,-72.0662,4.34,75,75,3.09,CL,1686254693
45,cabedelo,-6.9811,-34.8339,27.37,82,1,5.34,BR,1686254693
46,moose factory,51.2585,-80.6094,19.0,45,0,5.66,CA,1686254693
47,yellowknife,62.456,-114.3525,13.29,67,100,3.09,CA,1686254491
48,kodiak,57.79,-152.4072,8.73,93,100,4.63,US,1686254694
49,kavieng,-2.5744,150.7967,25.61,85,100,1.46,PG,1686254694
50,kaitangata,-46.2817,169.8464,1.6,94,38,1.13,NZ,1686254694
51,marrakesh,31.6315,-8.0083,24.04,50,75,6.17,MA,1686254488
